nohup: no se tendrá en cuenta la entrada
[22:56:23] (INFO) Dispositivo: cuda
[22:56:23] (INFO) Cargando datos desde em_caribe_20251201_20251231.parquet
[22:56:23] (INFO) Registros cargados: 16,368
[22:56:23] (INFO) Estaciones excluidas: ['0025025380', '0025025030', '0025025190', '0015015100'] (2,976 registros eliminados)
[22:56:23] (INFO) Numero de estaciones: 18
[22:56:23] (INFO) Proyectando coordenadas a cartesianas
[22:56:23] (INFO) Reestructurando datos para 18 estaciones
[22:56:23] (INFO) Filtrando 31 dias con intervalo 1
[22:56:23] (INFO) Aplicando correccion de presion ISA a nivel del mar
[22:56:23] (INFO) Preprocesamiento completado
[22:56:23] (INFO) Escalas: L=405198.17 m, W=10.80 m/s, P0=100972.78 Pa, Re=316,767,061,879
[22:56:23] (INFO) Centrando y normalizando datos de estaciones
[22:56:23] (INFO) Normalizacion completada
[22:56:23] (INFO) Construyendo malla PINN con R=0.4 grados
[22:56:23] (INFO) Malla: 44 puntos espaciales x 744 timesteps = 32,736 total
[22:56:23] (INFO) Modelo PINN: 15,890,409 parametros
[22:56:23] (INFO) Dispositivo: cuda
[22:56:23] (INFO) Epocas: 2,000, LR: 1.0e-04, Lambda max: 3.0
[22:56:23] (INFO) Curriculum: 0 solo datos, 0 rampa, 2000 lambda completo
[22:56:23] (INFO) P_scale (reescalado presion): 1.0000
[22:56:23] (INFO) Registros estaciones: 13,265
[22:56:23] (INFO) Registros colocacion: 32,736
[22:56:23] (INFO) Batch estaciones: 172
[22:56:23] (INFO) Batch colocacion: 423
[22:56:24] (INFO) Iniciando entrenamiento
[22:56:24] (INFO) Curriculum fase 1: solo datos (epocas 0--1)
[22:56:28] (INFO) Cambio de LR: 0.0e+00 -> 1.0e-04
[00:08:05] (INFO) | Epoca:  980 | Loss: 9.139e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:08:49] (INFO) | Epoca:  990 | Loss: 9.082e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:09:28] (INFO) Checkpoint guardado: PINN_caribe_excl_4est_R04_bg_epoca_1000.pth
[00:09:28] (INFO) Historial guardado: historial_PINN_caribe_excl_4est_R04_bg.mat
[00:09:28] (INFO) Epoca 1000 con loss 9.05e-01
[00:09:33] (INFO) | Epoca: 1000 | Loss: 9.061e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:10:17] (INFO) | Epoca: 1010 | Loss: 8.980e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:11:01] (INFO) | Epoca: 1020 | Loss: 8.960e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:11:46] (INFO) | Epoca: 1030 | Loss: 9.085e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:12:31] (INFO) | Epoca: 1040 | Loss: 8.919e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:13:16] (INFO) | Epoca: 1050 | Loss: 8.985e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:14:01] (INFO) | Epoca: 1060 | Loss: 8.907e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:14:46] (INFO) | Epoca: 1070 | Loss: 8.992e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:15:31] (INFO) | Epoca: 1080 | Loss: 8.929e-01 | LR: 1.0e-05 | Lambda: 3.00 |
[00:16:15] (INFO) | Epoca: 1090 | Loss: 9.040e-01 | LR: 1.0e-05 | Lambda: 3.00 |
